Device	Platform	Browser	Engine	Agent
Tablet	Android	Chrome	AppleWebKit	Mozilla/5.0 (Linux; Android 4.4.4; SM-T561 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.98 Safari/537.36
Tablet	iOS	Safari	AppleWebKit	"Mozilla/5.0 (iPad; U; CPU OS 4_3_5 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8L1 Safari/6533.18.5"""
Tablet	Firefox	Firefox	Gecko	Mozilla/5.0 (Tablet; rv:26.0) Gecko/26.0 Firefox/26.0
Tablet	Android	Firefox	Gecko	Mozilla/5.0 (Android 4.4; Tablet; rv:41.0) Gecko/41.0 Firefox/41.0
Tablet
Tablet



















